,City,Country,Max Temp,Lat,Lng,Description,Hotel Name
320,Ambulu,ID,75.63,-8.345,113.6058,overcast clouds,Hotel Ambulu Jember
321,Pisco,PE,71.65,-13.7,-76.2167,clear sky,Hotel San Isidro Oficial
322,Laguna,US,70.11,38.421,-121.4238,clear sky,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
324,Lukang,TW,77.43,24.0567,120.4352,clear sky,二鹿行館 Lu Kang Bed and Breakbast
326,Marsh Harbour,BS,78.49,26.5412,-77.0636,overcast clouds,Abaco Beach Resort
330,Kalabo,ZM,75.72,-14.97,22.6814,light rain,Sikakubete Guest House Kalabo Town Council
331,Lahij,YE,77.97,13.1667,44.5833,clear sky,
336,Beloha,MG,69.91,-25.1667,45.05,clear sky,
337,Mabay,PH,77.83,6.0577,124.4666,broken clouds,Bautista Lodging House
340,Sakakah,SA,71.17,29.9697,40.2064,clear sky,Fakhamat Al Orjoana Apartment
342,Tirumullaivasal,IN,78.53,11.2333,79.8333,overcast clouds,Almupaark complex
343,Lorengau,PG,80.37,-2.0226,147.2712,overcast clouds,Lorengau Harbourside Hotel
344,Meadow Lake,US,67.41,34.8014,-106.5436,clear sky,TumbleWeed RV Park
348,Bertoua,CM,70.09,4.5833,13.6833,light rain,Hotel De Paris
349,Vila Franca Do Campo,PT,69.19,37.7167,-25.4333,overcast clouds,Pestana Bahia Praia
350,Aswan,EG,82.6,24.0934,32.907,clear sky,Nuba Nile
351,Benguela,AO,77.16,-12.5763,13.4055,overcast clouds,Hotel Praia Morena
354,Kahului,US,82.42,20.8947,-156.47,scattered clouds,Maui Seaside Hotel
355,Souillac,MU,71.98,-20.5167,57.5167,few clouds,Shanti Maurice Resort & Spa
357,Chancay,PE,72.55,-11.5714,-77.2672,few clouds,Hotel Madre Perla
358,Maldonado,UY,72.79,-34.6667,-54.9167,overcast clouds,La Cimarrona
359,Dingle,PH,76.48,10.9995,122.6711,overcast clouds,SEGAYA PROPERTY
360,Zhuhai,CN,78.06,22.2769,113.5678,scattered clouds,Nanyang Seascape Hotel Zhuhai Hotel
361,Laranjeiras Do Sul,BR,66.6,-25.4078,-52.4161,light rain,Hotel Palmeiras
363,Marzuq,YE,71.13,14.4,46.4667,clear sky,
